FARMACIA ARAGÓ 1;Carrer d'Aragó, 1;8015;BARCELONA;BARCELONA;https://www.google.es/maps/place/Farmacia+Arag%C3%B3+1/@41.3782743,2.1438172,17z/data=!3m1!4b1!4m5!3m4!1s0x12a4a27f733928e3:0xc4c05a2691d73618!8m2!3d41.3782743!4d2.1460059;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2993.8071586776864!2d2.1438172154255164!3d41.3782742792651!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12a4a27f733928e3%3A0xc4c05a2691d73618!2sFarmacia+Arag%C3%B3+1!5e0!3m2!1ses!2ses!4v1552407911806
FARMACIA CONCEPCIÓ CARRÉ;Carrer de Leiva, 3;8014;BARCELONA;BARCELONA;https://www.google.es/maps/place/Farmacia+Concepci%C3%B3+Carr%C3%A9/@41.3782583,2.1109863,13z/data=!4m8!1m2!2m1!1sfarmacia+CONCEPCI%C3%93N+CARRE+SANCHEZ!3m4!1s0x12a49883829d5455:0x8c7b64fe5fba3966!8m2!3d41.3738439!4d2.1406133;https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d47900.92630749324!2d2.1109863!3d41.3782583!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12a49883829d5455%3A0x8c7b64fe5fba3966!2sFarmacia+Concepci%C3%B3+Carr%C3%A9!5e0!3m2!1ses!2ses!4v1552407928205
FARMACIA FAURA;Av. de Madrid, 222;8014;BARCELONA;BARCELONA;https://www.google.es/maps/place/Farmacia+Faura/@41.381646,2.1332233,17z/data=!3m1!4b1!4m5!3m4!1s0x12a4987d544f5ae7:0xd2318dc2a576558c!8m2!3d41.381646!4d2.135412;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2993.6519509389896!2d2.133223315425605!3d41.38164597926464!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12a4987d544f5ae7%3A0xd2318dc2a576558c!2sFarmacia+Faura!5e0!3m2!1ses!2ses!4v1552407950474
FARMÀCIA MARÉ VIVES;Carrer de Mejia Lequerica, 46;8028;BARCELONA;BARCELONA;https://www.google.es/maps/place/Farm%C3%A0cia+Mar%C3%A9+Vives/@41.3838884,2.1263825,15z/data=!4m5!3m4!1s0x0:0x87fc62b9b51218a3!8m2!3d41.3838884!4d2.1263825;https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d11974.194883975624!2d2.1263825!3d41.3838884!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x87fc62b9b51218a3!2zRmFybcOgY2lhIE1hcsOpIFZpdmVz!5e0!3m2!1ses!2ses!4v1552407967676
FARMÀCIA NIÑEROLA;Carrer de la Riera Blanca, 11;8028;BARCELONA;BARCELONA;https://www.google.es/maps/place/Farm%C3%A0cia+Ni%C3%B1erola/@41.3769059,2.1198413,17z/data=!3m1!4b1!4m5!3m4!1s0x12a498f47465cf77:0x935d4ea7314acdb1!8m2!3d41.3769059!4d2.12203;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2993.870146576194!2d2.1198413154254716!3d41.37690587926512!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12a498f47465cf77%3A0x935d4ea7314acdb1!2zRmFybcOgY2lhIE5pw7Flcm9sYQ!5e0!3m2!1ses!2ses!4v1552407984134
FARMÀCIA I ORTOPÈDIA DELIA PININ;Carrer Amilcar, 151;8032;BARCELONA;BARCELONA;https://www.google.es/maps/place/Farm%C3%A0cia+i+Ortop%C3%A8dia+Delia+Pinin/@41.4242775,2.1704795,17z/data=!3m1!4b1!4m5!3m4!1s0x12a4bd32489bf16d:0x4b035a853f12162e!8m2!3d41.4242775!4d2.1726682;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2991.6886228998615!2d2.1704795154269263!3d41.42427747926085!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12a4bd32489bf16d%3A0x4b035a853f12162e!2sFarm%C3%A0cia+Jos%C3%A9+Antonio+Miralles!5e0!3m2!1ses!2ses!4v1552408000579
FARMACIA IGLESIAS HUIX;Av. del Para?lel, 131;8015;BARCELONA;BARCELONA;https://www.google.es/maps/place/Farmacia+Iglesias+Huix/@41.374798,2.1572792,17z/data=!3m1!4b1!4m5!3m4!1s0x12a4a26418c124a9:0x7993f0c3e6475970!8m2!3d41.374798!4d2.1594679;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2993.9671705596056!2d2.157279215425399!3d41.37479797926535!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12a4a26418c124a9%3A0x7993f0c3e6475970!2sFarmacia+Iglesias+Huix!5e0!3m2!1ses!2ses!4v1552408027984
PARAFARMACIA MARLENE;Calle Cantillo, 17;29370;BENAOJAN;MALAGA;https://www.google.es/maps/place/Parafarmacia+Marlene/@36.7362945,-5.1279354,9z/data=!4m8!1m2!2m1!1sfarmacia+calle+CANTILLO+benaojan!3m4!1s0xd0d3a5b618c4be7:0x560e3470b3d842c3!8m2!3d36.718437!4d-5.253016;https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d818541.5895039395!2d-5.1279354!3d36.7362945!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd0d3a5b618c4be7%3A0x560e3470b3d842c3!2sParafarmacia+Marlene!5e0!3m2!1ses!2ses!4v1552408104326
FARMACIA GUZMÁN FERNÁNDEZ;Plaza de la Verdura, 2;29490;BENARRABA;MALAGA;https://www.google.es/maps/place/Farmacia+Guzm%C3%A1n+Fern%C3%A1ndez/@36.551452,-5.2774377,17z/data=!3m1!4b1!4m5!3m4!1s0xd0d26f17617b477:0x8d3450756be42fd!8m2!3d36.551452!4d-5.275249;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12820.441474974821!2d-5.284003764798162!3d36.551451680007084!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd0d26f17617b477%3A0x8d3450756be42fd!2sFarmacia+Guzm%C3%A1n+Fern%C3%A1ndez!5e0!3m2!1ses!2ses!4v1552408120916
FARMACIA JOSÉ MARCH;Avenida de las Germanías, 37;46450;BENIFAIO;VALENCIA;https://www.google.es/maps/place/Farmacia+Jos%C3%A9+March/@39.2816388,-0.4282834,17z/data=!3m1!4b1!4m5!3m4!1s0xd61b2f6908628cf:0x286aa512fbb2e823!8m2!3d39.2816388!4d-0.4260947;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3088.2915230449034!2d-0.4282833846382537!3d39.28163877951325!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd61b2f6908628cf%3A0x286aa512fbb2e823!2sFarmacia+Jos%C3%A9+March!5e0!3m2!1ses!2ses!4v1552408153481
